date,year,month,month_name,quarter,day_of_week,week_number,is_weekend
2017-06-03,2017,6,June,2,Saturday,22,True
2017-06-04,2017,6,June,2,Sunday,22,True
2017-06-05,2017,6,June,2,Monday,23,False
2017-06-06,2017,6,June,2,Tuesday,23,False
2017-06-07,2017,6,June,2,Wednesday,23,False
2017-06-08,2017,6,June,2,Thursday,23,False
2017-06-09,2017,6,June,2,Friday,23,False
2017-06-10,2017,6,June,2,Saturday,23,True
2017-06-11,2017,6,June,2,Sunday,23,True
2017-06-12,2017,6,June,2,Monday,24,False
2017-06-13,2017,6,June,2,Tuesday,24,False
2017-06-14,2017,6,June,2,Wednesday,24,False
2017-06-15,2017,6,June,2,Thursday,24,False
2017-06-16,2017,6,June,2,Friday,24,False
2017-06-17,2017,6,June,2,Saturday,24,True
2017-06-18,2017,6,June,2,Sunday,24,True
2017-06-19,2017,6,June,2,Monday,25,False
2017-06-20,2017,6,June,2,Tuesday,25,False
2017-06-21,2017,6,June,2,Wednesday,25,False
2017-06-22,2017,6,June,2,Thursday,25,False
2017-06-23,2017,6,June,2,Friday,25,False
2017-06-24,2017,6,June,2,Saturday,25,True
2017-06-25,2017,6,June,2,Sunday,25,True
2017-06-26,2017,6,June,2,Monday,26,False
2017-06-27,2017,6,June,2,Tuesday,26,False
2017-06-28,2017,6,June,2,Wednesday,26,False
2017-06-29,2017,6,June,2,Thursday,26,False
2017-06-30,2017,6,June,2,Friday,26,False
2017-07-01,2017,7,July,3,Saturday,26,True
2017-07-02,2017,7,July,3,Sunday,26,True
2017-07-03,2017,7,July,3,Monday,27,False
2017-07-04,2017,7,July,3,Tuesday,27,False
2017-07-05,2017,7,July,3,Wednesday,27,False
2017-07-06,2017,7,July,3,Thursday,27,False
2017-07-07,2017,7,July,3,Friday,27,False
2017-07-08,2017,7,July,3,Saturday,27,True
2017-07-09,2017,7,July,3,Sunday,27,True
2017-07-10,2017,7,July,3,Monday,28,False
2017-07-11,2017,7,July,3,Tuesday,28,False
2017-07-12,2017,7,July,3,Wednesday,28,False
2017-07-13,2017,7,July,3,Thursday,28,False
2017-07-14,2017,7,July,3,Friday,28,False
2017-07-15,2017,7,July,3,Saturday,28,True
2017-07-16,2017,7,July,3,Sunday,28,True
2017-07-17,2017,7,July,3,Monday,29,False
2017-07-18,2017,7,July,3,Tuesday,29,False
2017-07-19,2017,7,July,3,Wednesday,29,False
2017-07-20,2017,7,July,3,Thursday,29,False
2017-07-21,2017,7,July,3,Friday,29,False
2017-07-22,2017,7,July,3,Saturday,29,True
2017-07-23,2017,7,July,3,Sunday,29,True
2017-07-24,2017,7,July,3,Monday,30,False
2017-07-25,2017,7,July,3,Tuesday,30,False
2017-07-26,2017,7,July,3,Wednesday,30,False
2017-07-27,2017,7,July,3,Thursday,30,False
2017-07-28,2017,7,July,3,Friday,30,False
2017-07-29,2017,7,July,3,Saturday,30,True
2017-07-30,2017,7,July,3,Sunday,30,True
2017-07-31,2017,7,July,3,Monday,31,False
2017-08-01,2017,8,August,3,Tuesday,31,False
2017-08-02,2017,8,August,3,Wednesday,31,False
2017-08-03,2017,8,August,3,Thursday,31,False
2017-08-04,2017,8,August,3,Friday,31,False
2017-08-05,2017,8,August,3,Saturday,31,True
2017-08-06,2017,8,August,3,Sunday,31,True
2017-08-07,2017,8,August,3,Monday,32,False
2017-08-08,2017,8,August,3,Tuesday,32,False
2017-08-09,2017,8,August,3,Wednesday,32,False
2017-08-10,2017,8,August,3,Thursday,32,False
2017-08-11,2017,8,August,3,Friday,32,False
2017-08-12,2017,8,August,3,Saturday,32,True
2017-08-13,2017,8,August,3,Sunday,32,True
2017-08-14,2017,8,August,3,Monday,33,False
2017-08-15,2017,8,August,3,Tuesday,33,False
2017-08-16,2017,8,August,3,Wednesday,33,False
2017-08-17,2017,8,August,3,Thursday,33,False
2017-08-18,2017,8,August,3,Friday,33,False
2017-08-19,2017,8,August,3,Saturday,33,True
2017-08-20,2017,8,August,3,Sunday,33,True
2017-08-21,2017,8,August,3,Monday,34,False
2017-08-22,2017,8,August,3,Tuesday,34,False
2017-08-23,2017,8,August,3,Wednesday,34,False
2017-08-24,2017,8,August,3,Thursday,34,False
2017-08-25,2017,8,August,3,Friday,34,False
2017-08-26,2017,8,August,3,Saturday,34,True
2017-08-27,2017,8,August,3,Sunday,34,True
2017-08-28,2017,8,August,3,Monday,35,False
2017-08-29,2017,8,August,3,Tuesday,35,False
2017-08-30,2017,8,August,3,Wednesday,35,False
2017-08-31,2017,8,August,3,Thursday,35,False
2017-09-01,2017,9,September,3,Friday,35,False
2017-09-02,2017,9,September,3,Saturday,35,True
2017-09-03,2017,9,September,3,Sunday,35,True
2017-09-04,2017,9,September,3,Monday,36,False
2017-09-05,2017,9,September,3,Tuesday,36,False
2017-09-06,2017,9,September,3,Wednesday,36,False
2017-09-07,2017,9,September,3,Thursday,36,False
2017-09-08,2017,9,September,3,Friday,36,False
2017-09-09,2017,9,September,3,Saturday,36,True
2017-09-10,2017,9,September,3,Sunday,36,True
2017-09-11,2017,9,September,3,Monday,37,False
2017-09-12,2017,9,September,3,Tuesday,37,False
2017-09-13,2017,9,September,3,Wednesday,37,False
